Open,High,Low,Close,Adj Close,Volume,Date
38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,37.7086067199707,148158800,2019-01-02
35.994998931884766,36.43000030517578,35.5,35.54750061035156,33.9525260925293,365248800,2019-01-03
36.13249969482422,37.13750076293945,35.95000076293945,37.064998626708984,35.401954650878906,234428400,2019-01-04
37.17499923706055,37.20750045776367,36.474998474121094,36.98249816894531,35.32315444946289,219111200,2019-01-07
37.38999938964844,37.95500183105469,37.130001068115234,37.6875,35.99653625488281,164101200,2019-01-08
37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,36.60780715942383,180396400,2019-01-09
38.125,38.49250030517578,37.71500015258789,38.45000076293945,36.72480392456055,143122800,2019-01-10
38.220001220703125,38.42499923706055,37.877498626708984,38.0724983215332,36.36425018310547,108092800,2019-01-11
37.712501525878906,37.817501068115234,37.30500030517578,37.5,35.81743240356445,129756800,2019-01-14
37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.550506591796875,114843600,2019-01-15
38.27000045776367,38.970001220703125,38.25,38.73500061035156,36.99702835083008,122278800,2019-01-16
38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,37.21669387817383,119284800,2019-01-17
39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.445945739746094,135004000,2019-01-18
39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,36.60542297363281,121576000,2019-01-22
38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,36.75347900390625,92522400,2019-01-23
38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.4621467590332,101766000,2019-01-24
38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,37.67038345336914,134142000,2019-01-25
38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.32176971435547,104768400,2019-01-28
39.0625,39.532501220703125,38.52750015258789,38.66999816894531,36.934940338134766,166348800,2019-01-29
40.8125,41.537498474121094,40.057498931884766,41.3125,39.4588737487793,244439200,2019-01-30
41.52750015258789,42.25,41.13999938964844,41.61000061035156,39.74302673339844,162958400,2019-01-31
41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,39.76213455200195,130672400,2019-02-01
41.852500915527344,42.915000915527344,41.81999969482422,42.8125,40.891578674316406,125982000,2019-02-04
43.21500015258789,43.77000045776367,43.087501525878906,43.54499816894531,41.59120559692383,144406400,2019-02-05
43.662498474121094,43.89250183105469,43.212501525878906,43.560001373291016,41.60552978515625,112958400,2019-02-06
43.099998474121094,43.48500061035156,42.584999084472656,42.73500061035156,40.81754684448242,126966800,2019-02-07
42.247501373291016,42.665000915527344,42.10499954223633,42.602500915527344,40.86551284790039,95280000,2019-02-08
42.76250076293945,42.8025016784668,42.3125,42.35749816894531,40.63050079345703,83973600,2019-02-11
42.525001525878906,42.75,42.42499923706055,42.72249984741211,40.98061752319336,89134000,2019-02-12
42.84749984741211,43.119998931884766,42.47999954223633,42.54499816894531,40.81035232543945,89960800,2019-02-13
42.4275016784668,42.814998626708984,42.345001220703125,42.70000076293945,40.95903396606445,87342800,2019-02-14
42.8125,42.92499923706055,42.4375,42.60499954223633,40.8679084777832,98507200,2019-02-15
42.4275016784668,42.86000061035156,42.372501373291016,42.73249816894531,40.99020767211914,75891200,2019-02-19
42.79750061035156,43.33000183105469,42.747501373291016,43.00749969482422,41.253997802734375,104457600,2019-02-20
42.95000076293945,43.092498779296875,42.57500076293945,42.76499938964844,41.021385192871094,68998800,2019-02-21
42.89500045776367,43.25,42.845001220703125,43.24250030517578,41.47941207885742,75652800,2019-02-22
43.540000915527344,43.967498779296875,43.48749923706055,43.557498931884766,41.78156280517578,87493600,2019-02-25
43.4275016784668,43.82500076293945,43.29249954223633,43.58250045776367,41.80554962158203,68280800,2019-02-26
43.3025016784668,43.75,43.182498931884766,43.717498779296875,41.93505096435547,111341600,2019-02-27
43.58000183105469,43.727500915527344,43.22999954223633,43.287498474121094,41.522579193115234,112861600,2019-02-28
43.56999969482422,43.787498474121094,43.22249984741211,43.74250030517578,41.95904541015625,103544800,2019-03-01
43.92250061035156,44.4375,43.49250030517578,43.962501525878906,42.17006301879883,109744800,2019-03-04
43.98500061035156,44.0,43.6349983215332,43.88249969482422,42.09331512451172,78949600,2019-03-05
43.66749954223633,43.872501373291016,43.48500061035156,43.630001068115234,41.85111999511719,83241600,2019-03-06
43.467498779296875,43.61000061035156,43.005001068115234,43.125,41.36671829223633,99185600,2019-03-07
42.58000183105469,43.26750183105469,42.375,43.227500915527344,41.465030670166016,95997600,2019-03-08
43.872501373291016,44.779998779296875,43.837501525878906,44.724998474121094,42.90147399902344,128044000,2019-03-11
45.0,45.66749954223633,44.842498779296875,45.227500915527344,43.383480072021484,129870400,2019-03-12
45.5625,45.82500076293945,45.22999954223633,45.4275016784668,43.57534408569336,124130000,2019-03-13
45.974998474121094,46.025001525878906,45.63999938964844,45.932498931884766,44.05973815917969,94318000,2019-03-14
46.212501525878906,46.83250045776367,45.935001373291016,46.529998779296875,44.63288116455078,156171600,2019-03-15
46.45000076293945,47.09749984741211,46.4474983215332,47.005001068115234,45.08851623535156,104879200,2019-03-18
47.087501525878906,47.247501373291016,46.47999954223633,46.63249969482422,44.731201171875,126585600,2019-03-19
46.557498931884766,47.372501373291016,46.182498931884766,47.040000915527344,45.12207794189453,124140800,2019-03-20
47.505001068115234,49.08250045776367,47.45249938964844,48.772499084472656,46.78394317626953,204136800,2019-03-21
48.834999084472656,49.42250061035156,47.69499969482422,47.76250076293945,45.81513214111328,169630800,2019-03-22
47.877498626708984,47.994998931884766,46.650001525878906,47.185001373291016,45.26117706298828,175381200,2019-03-25
47.915000915527344,48.220001220703125,46.14500045776367,46.6974983215332,44.793548583984375,199202000,2019-03-26
47.1875,47.439998626708984,46.63750076293945,47.11750030517578,45.196434020996094,119393600,2019-03-27
47.23749923706055,47.38999938964844,46.88249969482422,47.18000030517578,45.256385803222656,83121600,2019-03-28
47.45750045776367,47.52000045776367,47.1349983215332,47.48749923706055,45.551334381103516,94256000,2019-03-29
47.90999984741211,47.91999816894531,47.095001220703125,47.810001373291016,45.86070251464844,111448000,2019-04-01
47.772499084472656,48.6150016784668,47.76250076293945,48.505001068115234,46.52735900878906,91062800,2019-04-02
48.3125,49.125,48.287498474121094,48.837501525878906,46.846309661865234,93087200,2019-04-03
48.6974983215332,49.092498779296875,48.28499984741211,48.92250061035156,46.927833557128906,76457200,2019-04-04
49.11249923706055,49.275001525878906,48.98249816894531,49.25,47.24198532104492,74106400,2019-04-05
49.10499954223633,50.057498931884766,49.084999084472656,50.025001525878906,47.985382080078125,103526800,2019-04-08
50.08000183105469,50.712501525878906,49.807498931884766,49.875,47.84149932861328,143072800,2019-04-09
49.66999816894531,50.185001373291016,49.54499816894531,50.154998779296875,48.110084533691406,86781200,2019-04-10
50.212501525878906,50.25,49.61000061035156,49.73749923706055,47.709590911865234,83603200,2019-04-11
49.79999923706055,50.03499984741211,49.0525016784668,49.717498779296875,47.69042205810547,111042800,2019-04-12
49.64500045776367,49.962501525878906,49.502498626708984,49.807498931884766,47.77674102783203,70146400,2019-04-15
49.8650016784668,50.342498779296875,49.63999938964844,49.8125,47.78154754638672,102785600,2019-04-16
49.8849983215332,50.845001220703125,49.65250015258789,50.782501220703125,48.71199417114258,115627200,2019-04-17
50.779998779296875,51.037498474121094,50.630001068115234,50.96500015258789,48.88705062866211,96783200,2019-04-18
50.70750045776367,51.23500061035156,50.584999084472656,51.13249969482422,49.0477180480957,77758000,2019-04-22
51.10749816894531,51.9375,50.974998474121094,51.869998931884766,49.755157470703125,93292000,2019-04-23
51.84000015258789,52.119998931884766,51.76250076293945,51.790000915527344,49.67842102050781,70162400,2019-04-24
51.70750045776367,51.939998626708984,51.279998779296875,51.31999969482422,49.227577209472656,74172800,2019-04-25
51.224998474121094,51.25,50.529998779296875,51.07500076293945,48.99257278442383,74596400,2019-04-26
51.099998474121094,51.49250030517578,50.96500015258789,51.15250015258789,49.06690979003906,88818800,2019-04-29
50.76499938964844,50.849998474121094,49.77750015258789,50.16749954223633,48.1220703125,186139600,2019-04-30
